Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
09:09:59         1,30      0,50      0,80      0,00     28,00     27,20      0,00
09:10:09         1,70      0,00      1,70      0,00      0,00     20,80      0,00
09:10:19         0,20      0,00      0,20      0,00      0,00      6,40      0,00
09:10:29         3,80      0,00      3,80      0,00      0,00     61,54      0,00
09:10:39         0,50      0,00      0,50      0,00      0,00      7,20      0,00
09:10:49         0,50      0,00      0,50      0,00      0,00      8,80      0,00
09:10:59         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:11:09         0,60      0,00      0,60      0,00      0,00     16,80      0,00
09:11:19         0,90      0,00      0,90      0,00      0,00     11,20      0,00
09:11:29         0,20      0,00      0,20      0,00      0,00      4,80      0,00
09:11:39         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:11:49         0,50      0,00      0,50      0,00      0,00     16,80      0,00
09:11:59         1,00      0,00      1,00      0,00      0,00     12,80      0,00
09:12:09         0,20      0,00      0,20      0,00      0,00      4,80      0,00
09:12:19         0,80      0,00      0,80      0,00      0,00      8,80      0,00
09:12:29         0,60      0,00      0,60      0,00      0,00     16,00      0,00
09:12:39         1,00      0,00      1,00      0,00      0,00     12,00      0,00
09:12:49         0,20      0,00      0,20      0,00      0,00      7,20      0,00
09:12:59         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:13:09         0,50      0,00      0,50      0,00      0,00     22,40      0,00
09:13:19         0,90      0,00      0,90      0,00      0,00     13,60      0,00
09:13:29         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:13:39         0,50      0,00      0,50      0,00      0,00     11,19      0,00
09:13:49         0,30      0,00      0,30      0,00      0,00     14,40      0,00
09:13:59         0,90      0,00      0,90      0,00      0,00      9,60      0,00
09:14:09         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:14:19         0,60      0,00      0,60      0,00      0,00     15,20      0,00
09:14:29         0,30      0,00      0,30      0,00      0,00     12,00      0,00
09:14:39         0,90      0,00      0,90      0,00      0,00     10,40      0,00
09:14:49         0,30      0,00      0,30      0,00      0,00      8,80      0,00
09:14:59         0,50      0,00      0,50      0,00      0,00     11,20      0,00
09:15:09         0,60      0,00      0,60      0,00      0,00     27,20      0,00
09:15:19         1,00      0,00      1,00      0,00      0,00     15,20      0,00
09:15:29         0,20      0,00      0,20      0,00      0,00      4,00      0,00
09:15:39         3,30      0,00      3,30      0,00      0,00     48,00      0,00
09:15:49         1,10      0,00      1,10      0,00      0,00     17,60      0,00
09:15:59         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:16:09         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:16:19         0,80      0,00      0,80      0,00      0,00     24,78      0,00
09:16:29         0,70      0,00      0,70      0,00      0,00      8,80      0,00
09:16:39         0,20      0,00      0,20      0,00      0,00      4,00      0,00
09:16:49         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:16:59         0,90      0,00      0,90      0,00      0,00     24,80      0,00
09:17:09         0,40      0,00      0,40      0,00      0,00     13,60      0,00
09:17:19         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:17:29         0,30      0,00      0,30      0,00      0,00      6,40      0,00
09:17:39         3,90      0,00      3,90      0,00      0,00     55,20      0,00
09:17:49         0,20      0,00      0,20      0,00      0,00      4,00      0,00
09:17:59         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:18:09         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:18:19         0,90      0,00      0,90      0,00      0,00     24,00      0,00
09:18:29         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:18:39         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:18:49         0,30      0,00      0,30      0,00      0,00      6,40      0,00
09:18:59         1,00      0,00      1,00      0,00      0,00     24,80      0,00
09:19:09         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:19:19         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:19:29         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:19:39         0,80      0,00      0,80      0,00      0,00     23,20      0,00
09:19:49         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:19:59         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:20:09         1,00      0,00      1,00      0,00      0,00     14,40      0,00
09:20:19         1,40      0,00      1,40      0,00      0,00     36,00      0,00
09:20:29         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:20:39         2,80      0,00      2,80      0,00      0,00     38,40      0,00
09:20:49         1,30      0,00      1,30      0,00      0,00     24,80      0,00
09:20:59         0,30      0,00      0,30      0,00      0,00     10,40      0,00
09:21:09         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:21:19         0,50      0,00      0,50      0,00      0,00     19,20      0,00
09:21:29         0,90      0,00      0,90      0,00      0,00     12,80      0,00
09:21:39         0,50      0,00      0,50      0,00      0,00     13,60      0,00
09:21:49         0,30      0,00      0,30      0,00      0,00     12,80      0,00
09:21:59         0,90      0,00      0,90      0,00      0,00     11,20      0,00
09:22:09         0,40      0,00      0,40      0,00      0,00      6,40      0,00
09:22:19         0,60      0,00      0,60      0,00      0,00     23,20      0,00
09:22:29         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:22:39         0,90      0,00      0,90      0,00      0,00     11,20      0,00
09:22:49         0,50      0,00      0,50      0,00      0,00     20,00      0,00
09:22:59         0,40      0,00      0,40      0,00      0,00      9,60      0,00
09:23:09         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:23:19         0,90      0,00      0,90      0,00      0,00     16,00      0,00
09:23:29         0,30      0,00      0,30      0,00      0,00      9,60      0,00
09:23:39         0,30      0,00      0,30      0,00      0,00     10,40      0,00
09:23:49         0,30      0,00      0,30      0,00      0,00      8,80      0,00
09:23:59         0,90      0,00      0,90      0,00      0,00     15,20      0,00
09:24:09         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:24:19         0,40      0,00      0,40      0,00      0,00     15,98      0,00
09:24:29         0,20      0,00      0,20      0,00      0,00      7,20      0,00
09:24:39         0,80      0,00      0,80      0,00      0,00     10,40      0,00
09:24:49         0,40      0,00      0,40      0,00      0,00     13,60      0,00
09:24:59         0,50      0,00      0,50      0,00      0,00     15,20      0,00
09:25:09         3,10      0,00      3,10      0,00      0,00     41,60      0,00
09:25:19         1,40      0,00      1,40      0,00      0,00     20,80      0,00
09:25:29         0,30      0,00      0,30      0,00      0,00      9,60      0,00
09:25:39         0,70      0,00      0,70      0,00      0,00     15,20      0,00
09:25:49         0,30      0,00      0,30      0,00      0,00      8,80      0,00
09:25:59         0,90      0,00      0,90      0,00      0,00     16,00      0,00
09:26:09         0,30      0,00      0,30      0,00      0,00      6,39      0,00
09:26:19         0,60      0,00      0,60      0,00      0,00     22,40      0,00
09:26:29         0,20      0,00      0,20      0,00      0,00      5,60      0,00
09:26:39         0,80      0,00      0,80      0,00      0,00     10,40      0,00
09:26:49         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:26:59         0,40      0,00      0,40      0,00      0,00     20,80      0,00
09:27:09         0,20      0,00      0,20      0,00      0,00      4,00      0,00
09:27:19         0,90      0,00      0,90      0,00      0,00     11,20      0,00
09:27:29         0,40      0,00      0,40      0,00      0,00     16,00      0,00
09:27:39         0,30      0,00      0,30      0,00      0,00      9,60      0,00
09:27:49         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:27:59         0,90      0,00      0,90      0,00      0,00     20,00      0,00
09:28:09         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:28:19         0,50      0,00      0,50      0,00      0,00     14,39      0,00
09:28:29         0,30      0,00      0,30      0,00      0,00     12,80      0,00
09:28:39         0,90      0,00      0,90      0,00      0,00     11,20      0,00
09:28:49         0,30      0,00      0,30      0,00      0,00      6,40      0,00
09:28:59         0,60      0,00      0,60      0,00      0,00     23,18      0,00
09:29:09         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:29:19         0,80      0,00      0,80      0,00      0,00     10,40      0,00
09:29:29         0,60      0,00      0,60      0,00      0,00     20,00      0,00
09:29:39         0,30      0,00      0,30      0,00      0,00      8,00      0,00
09:29:49         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:29:59         1,20      0,00      1,20      0,00      0,00     24,00      0,00
09:30:09         0,60      0,00      0,60      0,00      0,00     20,80      0,00
09:30:19         0,50      0,00      0,50      0,00      0,00     12,00      0,00
09:30:29         0,30      0,00      0,30      0,00      0,00     12,80      0,00
09:30:39         4,80      0,00      4,80      0,00      0,00     69,60      0,00
09:30:49         0,30      0,00      0,30      0,00      0,00      5,60      0,00
09:30:59         0,40      0,00      0,40      0,00      0,00     16,00      0,00
09:31:09         1,00      0,00      1,00      0,00      0,00     15,18      0,00
09:31:19         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:31:29         0,40      0,00      0,40      0,00      0,00     11,20      0,00
09:31:39         1,10      0,00      1,10      0,00      0,00     22,40      0,00
09:31:49         0,20      0,00      0,20      0,00      0,00      3,20      0,00
09:31:59         0,30      0,00      0,30      0,00      0,00      8,80      0,00
09:32:09         1,00      0,00      1,00      0,00      0,00     16,00      0,00
09:32:19         0,50      0,00      0,50      0,00      0,00     12,80      0,00
